n,ξ,RejectionRate,NRejected,NValid,NFailed
10,-0.4,0.02,2,100,0
10,-0.2,0.03,3,100,0
10,0.0,0.02,2,100,0
10,0.2,0.05,5,100,0
10,0.4,0.04,4,100,0
15,-0.4,0.12,12,100,0
15,-0.2,0.07,7,100,0
15,0.0,0.04,4,100,0
15,0.2,0.05,5,100,0
15,0.4,0.05,5,100,0
30,-0.4,0.04,4,100,0
30,-0.2,0.06,6,100,0
30,0.0,0.06,6,100,0
30,0.2,0.06,6,100,0
30,0.4,0.08,8,100,0
50,-0.4,0.09,9,100,0
50,-0.2,0.04,4,100,0
50,0.0,0.06,6,100,0
50,0.2,0.08,8,100,0
50,0.4,0.1,10,100,0
75,-0.4,0.03,3,100,0
75,-0.2,0.09,9,100,0
75,0.0,0.04,4,100,0
75,0.2,0.08,8,100,0
75,0.4,0.06,6,100,0
100,-0.4,0.06,6,100,0
100,-0.2,0.04,4,100,0
100,0.0,0.04,4,100,0
100,0.2,0.07,7,100,0
100,0.4,0.07,7,100,0
